name,name_atf,cdel_per_year_4yr,rdel_per_year_3yr,total_over_4yr
Bedford,Bedford Unitary Authority,232110.0,72826.0,1146917.0
Blackburn with Darwen,Blackburn with Darwen Unitary Authority,514912.0,161558.0,2544323.0
Blackpool,Blackpool Unitary Authority,176123.0,55260.0,870272.0
"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch & Poole Unitary Authority",2249725.0,705869.0,11116505.0
Bracknell Forest,Bracknell Forest Unitary Authority,156406.0,49074.0,772844.0
Brighton and Hove,Brighton and Hove Unitary Authority,918448.0,288170.0,4538302.0
Buckinghamshire,Buckinghamshire Unitary Authority,1845501.0,579040.0,9119124.0
Cambridgeshire and Peterborough Combined Authority,Cambridgeshire & Peterborough Combined Authority,5042262.0,1582049.0,24915193.0
Central Bedfordshire,Central Bedfordshire Unitary Authority,369280.0,115865.0,1824716.0
Cheshire East,Cheshire East Unitary Authority,1331230.0,417684.0,6577971.0
Cheshire West and Chester,Cheshire West and Chester Unitary Authority,1188880.0,373020.0,5874580.0
Cornwall,Cornwall Unitary Authority,714730.0,224252.0,3531678.0
Cumberland,Cumberland Council,910076.0,285543.0,4496932.0
Derby,Derby Unitary Authority,326291.0,102376.0,1612294.0
Derbyshire,Derbyshire County Council,1324235.0,415489.0,6543408.0
Devon,Devon County Council,2706944.0,849325.0,13375751.0
Dorset,Dorset Unitary Authority,476427.0,149483.0,2354155.0
East Riding of Yorkshire,East Riding of Yorkshire Unitary Authority,1140500.0,357841.0,5635523.0
East Sussex,East Sussex County Council,683385.0,214417.0,3376793.0
Essex,Essex County Council,5006620.0,1570866.0,24739079.0
Gloucestershire,Gloucestershire County Council,3635841.0,1140773.0,17965685.0
Greater Manchester Combined Authority,Greater Manchester Combined Authority,7168137.0,2249059.0,35419725.0
Hampshire,Hampshire County Council,4673766.0,1466430.0,23094356.0
Herefordshire,Herefordshire Unitary Authority,234354.0,73530.0,1158006.0
Hertfordshire,Hertfordshire County Council,3990486.0,1252046.0,19718081.0
Isle of Wight,Isle of Wight Unitary Authority,176042.0,55234.0,869870.0
Isles of Scilly,Isles of Scilly,20000.0,20000.0,140000.0
Kent,Kent County Council,5246504.0,1646131.0,25924411.0
Kingston upon Hull,Kingston upon Hull Unitary Authority,332947.0,104465.0,1645184.0
Lancashire,Lancashire County Council,4108194.0,1288978.0,20299711.0
Leicester,Leicester Unitary Authority,2058039.0,645726.0,10169331.0
Leicestershire,Leicestershire County Authority,890363.0,279358.0,4399529.0
Lincolnshire,Lincolnshire County Council,961463.0,301666.0,4750851.0
Liverpool City Region Combined Authority,Liverpool City Region Combined Authority,2578720.0,809093.0,12742158.0
Luton,Luton Unitary Authority,280922.0,88141.0,1388110.0
Medway,Medway Unitary Authority,349646.0,109704.0,1727695.0
Milton Keynes,Milton Keynes Unitary Authority,957890.0,300545.0,4733197.0
Norfolk,Norfolk County Council,3052372.0,957705.0,15082603.0
North East Combined Authority,North East CA,3271504.0,1026460.0,16165396.0
North East Lincolnshire,North East Lincolnshire Unitary Authority,196419.0,61628.0,970558.0
North Lincolnshire,North Lincolnshire Council,212341.0,66624.0,1049236.0
